Название,Цена,Ссылка
"i7-4770,ОЗУ 1600Ггц,Мониторы 75Гц",5 000 тг.,https://www.olx.kz/d/obyavlenie/i7-4770-ozu-1600ggts-monitory-75gts-IDljB7u.html#f9f01ff837;promoted
Игровой компьютер,260 000 тг.,https://www.olx.kz/d/obyavlenie/igrovoy-kompyuter-IDlsx1u.html#f9f01ff837
"Модемы TP-LINK WI-FI TD-W8961N в Актобе! в ""Спутнике""! АКЦИЯ!",13 800 тг.,https://www.olx.kz/d/obyavlenie/modemy-tp-link-wi-fi-td-w8961n-v-aktobe-v-sputnike-aktsiya-IDiJQpc.html#f9f01ff837;promoted
"i3 10100,GTX1660ti 6Gb,16gb,SSD M.2 240Gb,550w",455 000 тг.,https://www.olx.kz/d/obyavlenie/i3-10100-gtx1660ti-6gb-16gb-ssd-m-2-240gb-550w-IDlpQ3U.html#f9f01ff837;promoted
4GB GTX1050 Ti GDDR5 DP HDMI DVI Gainward (оптовая цена 110000),121 990 тг.,https://www.olx.kz/d/obyavlenie/4gb-gtx1050-ti-gddr5-dp-hdmi-dvi-gainward-optovaya-tsena-110000-IDln73Q.html#f9f01ff837;promoted
Мощный Intel Core i7 20GB 144 герц SSD Игравой Компьютер Сборка 1050ti,385 000 тг.,https://www.olx.kz/d/obyavlenie/moschnyy-intel-core-i7-20gb-144-gerts-ssd-igravoy-kompyuter-sborka-1050ti-IDjT8pq.html#f9f01ff837;promoted
"i7-4770,ОЗУ 1600Ггц,Мониторы 75Гц",5 000 тг.,https://www.olx.kz/d/obyavlenie/i7-4770-ozu-1600ggts-monitory-75gts-IDljB7u.html#f9f01ff837;promoted
Игровой компьютер,260 000 тг.,https://www.olx.kz/d/obyavlenie/igrovoy-kompyuter-IDlsx1u.html#f9f01ff837
Продам системный блок двух ядерный,30 000 тг.,https://www.olx.kz/d/obyavlenie/prodam-sistemnyy-blok-dvuh-yadernyy-IDlsx1B.html#f9f01ff837
"Модемы TP-LINK WI-FI TD-W8961N в Актобе! в ""Спутнике""! АКЦИЯ!",13 800 тг.,https://www.olx.kz/d/obyavlenie/modemy-tp-link-wi-fi-td-w8961n-v-aktobe-v-sputnike-aktsiya-IDiJQpc.html#f9f01ff837;promoted
"i3 10100,GTX1660ti 6Gb,16gb,SSD M.2 240Gb,550w",455 000 тг.,https://www.olx.kz/d/obyavlenie/i3-10100-gtx1660ti-6gb-16gb-ssd-m-2-240gb-550w-IDlpQ3U.html#f9f01ff837;promoted
4GB GTX1050 Ti GDDR5 DP HDMI DVI Gainward (оптовая цена 110000),121 990 тг.,https://www.olx.kz/d/obyavlenie/4gb-gtx1050-ti-gddr5-dp-hdmi-dvi-gainward-optovaya-tsena-110000-IDln73Q.html#f9f01ff837;promoted
Мощный Intel Core i7 20GB 144 герц SSD Игравой Компьютер Сборка 1050ti,385 000 тг.,https://www.olx.kz/d/obyavlenie/moschnyy-intel-core-i7-20gb-144-gerts-ssd-igravoy-kompyuter-sborka-1050ti-IDjT8pq.html#f9f01ff837;promoted
"i7-4770,ОЗУ 1600Ггц,Мониторы 75Гц",5 000 тг.,https://www.olx.kz/d/obyavlenie/i7-4770-ozu-1600ggts-monitory-75gts-IDljB7u.html#f9f01ff837;promoted
Игровой компьютер,260 000 тг.,https://www.olx.kz/d/obyavlenie/igrovoy-kompyuter-IDlsx1u.html#f9f01ff837
Продам системный блок двух ядерный,30 000 тг.,https://www.olx.kz/d/obyavlenie/prodam-sistemnyy-blok-dvuh-yadernyy-IDlsx1B.html#f9f01ff837
Сетевой адаптер Tenda,2 000 тг.,https://www.olx.kz/d/obyavlenie/setevoy-adapter-tenda-IDl0XCz.html#f9f01ff837
"Модемы TP-LINK WI-FI TD-W8961N в Актобе! в ""Спутнике""! АКЦИЯ!",13 800 тг.,https://www.olx.kz/d/obyavlenie/modemy-tp-link-wi-fi-td-w8961n-v-aktobe-v-sputnike-aktsiya-IDiJQpc.html#f9f01ff837;promoted
"i3 10100,GTX1660ti 6Gb,16gb,SSD M.2 240Gb,550w",455 000 тг.,https://www.olx.kz/d/obyavlenie/i3-10100-gtx1660ti-6gb-16gb-ssd-m-2-240gb-550w-IDlpQ3U.html#f9f01ff837;promoted
4GB GTX1050 Ti GDDR5 DP HDMI DVI Gainward (оптовая цена 110000),121 990 тг.,https://www.olx.kz/d/obyavlenie/4gb-gtx1050-ti-gddr5-dp-hdmi-dvi-gainward-optovaya-tsena-110000-IDln73Q.html#f9f01ff837;promoted
Мощный Intel Core i7 20GB 144 герц SSD Игравой Компьютер Сборка 1050ti,385 000 тг.,https://www.olx.kz/d/obyavlenie/moschnyy-intel-core-i7-20gb-144-gerts-ssd-igravoy-kompyuter-sborka-1050ti-IDjT8pq.html#f9f01ff837;promoted
"i7-4770,ОЗУ 1600Ггц,Мониторы 75Гц",5 000 тг.,https://www.olx.kz/d/obyavlenie/i7-4770-ozu-1600ggts-monitory-75gts-IDljB7u.html#f9f01ff837;promoted
Игровой компьютер,260 000 тг.,https://www.olx.kz/d/obyavlenie/igrovoy-kompyuter-IDlsx1u.html#f9f01ff837
Продам системный блок двух ядерный,30 000 тг.,https://www.olx.kz/d/obyavlenie/prodam-sistemnyy-blok-dvuh-yadernyy-IDlsx1B.html#f9f01ff837
Сетевой адаптер Tenda,2 000 тг.,https://www.olx.kz/d/obyavlenie/setevoy-adapter-tenda-IDl0XCz.html#f9f01ff837
Продам ПК I5 9400F/Asus GTX 1650 super,450 000 тг.,https://www.olx.kz/d/obyavlenie/prodam-pk-i5-9400f-asus-gtx-1650-super-IDkYHSq.html#f9f01ff837
"Модемы TP-LINK WI-FI TD-W8961N в Актобе! в ""Спутнике""! АКЦИЯ!",13 800 тг.,https://www.olx.kz/d/obyavlenie/modemy-tp-link-wi-fi-td-w8961n-v-aktobe-v-sputnike-aktsiya-IDiJQpc.html#f9f01ff837;promoted
"i3 10100,GTX1660ti 6Gb,16gb,SSD M.2 240Gb,550w",455 000 тг.,https://www.olx.kz/d/obyavlenie/i3-10100-gtx1660ti-6gb-16gb-ssd-m-2-240gb-550w-IDlpQ3U.html#f9f01ff837;promoted
4GB GTX1050 Ti GDDR5 DP HDMI DVI Gainward (оптовая цена 110000),121 990 тг.,https://www.olx.kz/d/obyavlenie/4gb-gtx1050-ti-gddr5-dp-hdmi-dvi-gainward-optovaya-tsena-110000-IDln73Q.html#f9f01ff837;promoted
Мощный Intel Core i7 20GB 144 герц SSD Игравой Компьютер Сборка 1050ti,385 000 тг.,https://www.olx.kz/d/obyavlenie/moschnyy-intel-core-i7-20gb-144-gerts-ssd-igravoy-kompyuter-sborka-1050ti-IDjT8pq.html#f9f01ff837;promoted
"i7-4770,ОЗУ 1600Ггц,Мониторы 75Гц",5 000 тг.,https://www.olx.kz/d/obyavlenie/i7-4770-ozu-1600ggts-monitory-75gts-IDljB7u.html#f9f01ff837;promoted
Игровой компьютер,260 000 тг.,https://www.olx.kz/d/obyavlenie/igrovoy-kompyuter-IDlsx1u.html#f9f01ff837
Продам системный блок двух ядерный,30 000 тг.,https://www.olx.kz/d/obyavlenie/prodam-sistemnyy-blok-dvuh-yadernyy-IDlsx1B.html#f9f01ff837
Сетевой адаптер Tenda,2 000 тг.,https://www.olx.kz/d/obyavlenie/setevoy-adapter-tenda-IDl0XCz.html#f9f01ff837
Продам ПК I5 9400F/Asus GTX 1650 super,450 000 тг.,https://www.olx.kz/d/obyavlenie/prodam-pk-i5-9400f-asus-gtx-1650-super-IDkYHSq.html#f9f01ff837
Lg 19' монитор LED,25 000 тг.,https://www.olx.kz/d/obyavlenie/lg-19-monitor-led-IDjgdTP.html#f9f01ff837
"Модемы TP-LINK WI-FI TD-W8961N в Актобе! в ""Спутнике""! АКЦИЯ!",13 800 тг.,https://www.olx.kz/d/obyavlenie/modemy-tp-link-wi-fi-td-w8961n-v-aktobe-v-sputnike-aktsiya-IDiJQpc.html#f9f01ff837;promoted
"i3 10100,GTX1660ti 6Gb,16gb,SSD M.2 240Gb,550w",455 000 тг.,https://www.olx.kz/d/obyavlenie/i3-10100-gtx1660ti-6gb-16gb-ssd-m-2-240gb-550w-IDlpQ3U.html#f9f01ff837;promoted
4GB GTX1050 Ti GDDR5 DP HDMI DVI Gainward (оптовая цена 110000),121 990 тг.,https://www.olx.kz/d/obyavlenie/4gb-gtx1050-ti-gddr5-dp-hdmi-dvi-gainward-optovaya-tsena-110000-IDln73Q.html#f9f01ff837;promoted
Мощный Intel Core i7 20GB 144 герц SSD Игравой Компьютер Сборка 1050ti,385 000 тг.,https://www.olx.kz/d/obyavlenie/moschnyy-intel-core-i7-20gb-144-gerts-ssd-igravoy-kompyuter-sborka-1050ti-IDjT8pq.html#f9f01ff837;promoted
"i7-4770,ОЗУ 1600Ггц,Мониторы 75Гц",5 000 тг.,https://www.olx.kz/d/obyavlenie/i7-4770-ozu-1600ggts-monitory-75gts-IDljB7u.html#f9f01ff837;promoted
Игровой компьютер,260 000 тг.,https://www.olx.kz/d/obyavlenie/igrovoy-kompyuter-IDlsx1u.html#f9f01ff837
Продам системный блок двух ядерный,30 000 тг.,https://www.olx.kz/d/obyavlenie/prodam-sistemnyy-blok-dvuh-yadernyy-IDlsx1B.html#f9f01ff837
Сетевой адаптер Tenda,2 000 тг.,https://www.olx.kz/d/obyavlenie/setevoy-adapter-tenda-IDl0XCz.html#f9f01ff837
Продам ПК I5 9400F/Asus GTX 1650 super,450 000 тг.,https://www.olx.kz/d/obyavlenie/prodam-pk-i5-9400f-asus-gtx-1650-super-IDkYHSq.html#f9f01ff837
Lg 19' монитор LED,25 000 тг.,https://www.olx.kz/d/obyavlenie/lg-19-monitor-led-IDjgdTP.html#f9f01ff837
Мышь оптическая DIGENT IZZIX-FM1000 (встроеный сканер). Продам,3 500 тг.,https://www.olx.kz/d/obyavlenie/mysh-opticheskaya-digent-izzix-fm1000-vstroenyy-skaner-prodam-IDh9EDb.html#f9f01ff837
"Модемы TP-LINK WI-FI TD-W8961N в Актобе! в ""Спутнике""! АКЦИЯ!",13 800 тг.,https://www.olx.kz/d/obyavlenie/modemy-tp-link-wi-fi-td-w8961n-v-aktobe-v-sputnike-aktsiya-IDiJQpc.html#f9f01ff837;promoted
"i3 10100,GTX1660ti 6Gb,16gb,SSD M.2 240Gb,550w",455 000 тг.,https://www.olx.kz/d/obyavlenie/i3-10100-gtx1660ti-6gb-16gb-ssd-m-2-240gb-550w-IDlpQ3U.html#f9f01ff837;promoted
4GB GTX1050 Ti GDDR5 DP HDMI DVI Gainward (оптовая цена 110000),121 990 тг.,https://www.olx.kz/d/obyavlenie/4gb-gtx1050-ti-gddr5-dp-hdmi-dvi-gainward-optovaya-tsena-110000-IDln73Q.html#f9f01ff837;promoted
Мощный Intel Core i7 20GB 144 герц SSD Игравой Компьютер Сборка 1050ti,385 000 тг.,https://www.olx.kz/d/obyavlenie/moschnyy-intel-core-i7-20gb-144-gerts-ssd-igravoy-kompyuter-sborka-1050ti-IDjT8pq.html#f9f01ff837;promoted
"i7-4770,ОЗУ 1600Ггц,Мониторы 75Гц",5 000 тг.,https://www.olx.kz/d/obyavlenie/i7-4770-ozu-1600ggts-monitory-75gts-IDljB7u.html#f9f01ff837;promoted
Игровой компьютер,260 000 тг.,https://www.olx.kz/d/obyavlenie/igrovoy-kompyuter-IDlsx1u.html#f9f01ff837
Продам системный блок двух ядерный,30 000 тг.,https://www.olx.kz/d/obyavlenie/prodam-sistemnyy-blok-dvuh-yadernyy-IDlsx1B.html#f9f01ff837
Сетевой адаптер Tenda,2 000 тг.,https://www.olx.kz/d/obyavlenie/setevoy-adapter-tenda-IDl0XCz.html#f9f01ff837
Продам ПК I5 9400F/Asus GTX 1650 super,450 000 тг.,https://www.olx.kz/d/obyavlenie/prodam-pk-i5-9400f-asus-gtx-1650-super-IDkYHSq.html#f9f01ff837
Lg 19' монитор LED,25 000 тг.,https://www.olx.kz/d/obyavlenie/lg-19-monitor-led-IDjgdTP.html#f9f01ff837
Мышь оптическая DIGENT IZZIX-FM1000 (встроеный сканер). Продам,3 500 тг.,https://www.olx.kz/d/obyavlenie/mysh-opticheskaya-digent-izzix-fm1000-vstroenyy-skaner-prodam-IDh9EDb.html#f9f01ff837
AOC 24G2/BK 144Hz,63 000 тг.,https://www.olx.kz/d/obyavlenie/aoc-24g2-bk-144hz-IDlrMKl.html#f9f01ff837;promoted
"Модемы TP-LINK WI-FI TD-W8961N в Актобе! в ""Спутнике""! АКЦИЯ!",13 800 тг.,https://www.olx.kz/d/obyavlenie/modemy-tp-link-wi-fi-td-w8961n-v-aktobe-v-sputnike-aktsiya-IDiJQpc.html#f9f01ff837;promoted
"i3 10100,GTX1660ti 6Gb,16gb,SSD M.2 240Gb,550w",455 000 тг.,https://www.olx.kz/d/obyavlenie/i3-10100-gtx1660ti-6gb-16gb-ssd-m-2-240gb-550w-IDlpQ3U.html#f9f01ff837;promoted
4GB GTX1050 Ti GDDR5 DP HDMI DVI Gainward (оптовая цена 110000),121 990 тг.,https://www.olx.kz/d/obyavlenie/4gb-gtx1050-ti-gddr5-dp-hdmi-dvi-gainward-optovaya-tsena-110000-IDln73Q.html#f9f01ff837;promoted
Мощный Intel Core i7 20GB 144 герц SSD Игравой Компьютер Сборка 1050ti,385 000 тг.,https://www.olx.kz/d/obyavlenie/moschnyy-intel-core-i7-20gb-144-gerts-ssd-igravoy-kompyuter-sborka-1050ti-IDjT8pq.html#f9f01ff837;promoted
"i7-4770,ОЗУ 1600Ггц,Мониторы 75Гц",5 000 тг.,https://www.olx.kz/d/obyavlenie/i7-4770-ozu-1600ggts-monitory-75gts-IDljB7u.html#f9f01ff837;promoted
Игровой компьютер,260 000 тг.,https://www.olx.kz/d/obyavlenie/igrovoy-kompyuter-IDlsx1u.html#f9f01ff837
Продам системный блок двух ядерный,30 000 тг.,https://www.olx.kz/d/obyavlenie/prodam-sistemnyy-blok-dvuh-yadernyy-IDlsx1B.html#f9f01ff837
Сетевой адаптер Tenda,2 000 тг.,https://www.olx.kz/d/obyavlenie/setevoy-adapter-tenda-IDl0XCz.html#f9f01ff837
Продам ПК I5 9400F/Asus GTX 1650 super,450 000 тг.,https://www.olx.kz/d/obyavlenie/prodam-pk-i5-9400f-asus-gtx-1650-super-IDkYHSq.html#f9f01ff837
Lg 19' монитор LED,25 000 тг.,https://www.olx.kz/d/obyavlenie/lg-19-monitor-led-IDjgdTP.html#f9f01ff837
Мышь оптическая DIGENT IZZIX-FM1000 (встроеный сканер). Продам,3 500 тг.,https://www.olx.kz/d/obyavlenie/mysh-opticheskaya-digent-izzix-fm1000-vstroenyy-skaner-prodam-IDh9EDb.html#f9f01ff837
AOC 24G2/BK 144Hz,63 000 тг.,https://www.olx.kz/d/obyavlenie/aoc-24g2-bk-144hz-IDlrMKl.html#f9f01ff837;promoted
Продам адаптер от флешки,500 тг.,https://www.olx.kz/d/obyavlenie/prodam-adapter-ot-fleshki-IDkhcYy.html#f9f01ff837
"Модемы TP-LINK WI-FI TD-W8961N в Актобе! в ""Спутнике""! АКЦИЯ!",13 800 тг.,https://www.olx.kz/d/obyavlenie/modemy-tp-link-wi-fi-td-w8961n-v-aktobe-v-sputnike-aktsiya-IDiJQpc.html#f9f01ff837;promoted
"i3 10100,GTX1660ti 6Gb,16gb,SSD M.2 240Gb,550w",455 000 тг.,https://www.olx.kz/d/obyavlenie/i3-10100-gtx1660ti-6gb-16gb-ssd-m-2-240gb-550w-IDlpQ3U.html#f9f01ff837;promoted
4GB GTX1050 Ti GDDR5 DP HDMI DVI Gainward (оптовая цена 110000),121 990 тг.,https://www.olx.kz/d/obyavlenie/4gb-gtx1050-ti-gddr5-dp-hdmi-dvi-gainward-optovaya-tsena-110000-IDln73Q.html#f9f01ff837;promoted
Мощный Intel Core i7 20GB 144 герц SSD Игравой Компьютер Сборка 1050ti,385 000 тг.,https://www.olx.kz/d/obyavlenie/moschnyy-intel-core-i7-20gb-144-gerts-ssd-igravoy-kompyuter-sborka-1050ti-IDjT8pq.html#f9f01ff837;promoted
"i7-4770,ОЗУ 1600Ггц,Мониторы 75Гц",5 000 тг.,https://www.olx.kz/d/obyavlenie/i7-4770-ozu-1600ggts-monitory-75gts-IDljB7u.html#f9f01ff837;promoted
Игровой компьютер,260 000 тг.,https://www.olx.kz/d/obyavlenie/igrovoy-kompyuter-IDlsx1u.html#f9f01ff837
Продам системный блок двух ядерный,30 000 тг.,https://www.olx.kz/d/obyavlenie/prodam-sistemnyy-blok-dvuh-yadernyy-IDlsx1B.html#f9f01ff837
Сетевой адаптер Tenda,2 000 тг.,https://www.olx.kz/d/obyavlenie/setevoy-adapter-tenda-IDl0XCz.html#f9f01ff837
Продам ПК I5 9400F/Asus GTX 1650 super,450 000 тг.,https://www.olx.kz/d/obyavlenie/prodam-pk-i5-9400f-asus-gtx-1650-super-IDkYHSq.html#f9f01ff837
Lg 19' монитор LED,25 000 тг.,https://www.olx.kz/d/obyavlenie/lg-19-monitor-led-IDjgdTP.html#f9f01ff837
Мышь оптическая DIGENT IZZIX-FM1000 (встроеный сканер). Продам,3 500 тг.,https://www.olx.kz/d/obyavlenie/mysh-opticheskaya-digent-izzix-fm1000-vstroenyy-skaner-prodam-IDh9EDb.html#f9f01ff837
AOC 24G2/BK 144Hz,63 000 тг.,https://www.olx.kz/d/obyavlenie/aoc-24g2-bk-144hz-IDlrMKl.html#f9f01ff837;promoted
Продам адаптер от флешки,500 тг.,https://www.olx.kz/d/obyavlenie/prodam-adapter-ot-fleshki-IDkhcYy.html#f9f01ff837
Продам компьютер,200 000 тг.,https://www.olx.kz/d/obyavlenie/prodam-kompyuter-IDlsvXH.html#f9f01ff837
"Модемы TP-LINK WI-FI TD-W8961N в Актобе! в ""Спутнике""! АКЦИЯ!",13 800 тг.,https://www.olx.kz/d/obyavlenie/modemy-tp-link-wi-fi-td-w8961n-v-aktobe-v-sputnike-aktsiya-IDiJQpc.html#f9f01ff837;promoted
"i3 10100,GTX1660ti 6Gb,16gb,SSD M.2 240Gb,550w",455 000 тг.,https://www.olx.kz/d/obyavlenie/i3-10100-gtx1660ti-6gb-16gb-ssd-m-2-240gb-550w-IDlpQ3U.html#f9f01ff837;promoted
4GB GTX1050 Ti GDDR5 DP HDMI DVI Gainward (оптовая цена 110000),121 990 тг.,https://www.olx.kz/d/obyavlenie/4gb-gtx1050-ti-gddr5-dp-hdmi-dvi-gainward-optovaya-tsena-110000-IDln73Q.html#f9f01ff837;promoted
Мощный Intel Core i7 20GB 144 герц SSD Игравой Компьютер Сборка 1050ti,385 000 тг.,https://www.olx.kz/d/obyavlenie/moschnyy-intel-core-i7-20gb-144-gerts-ssd-igravoy-kompyuter-sborka-1050ti-IDjT8pq.html#f9f01ff837;promoted
"i7-4770,ОЗУ 1600Ггц,Мониторы 75Гц",5 000 тг.,https://www.olx.kz/d/obyavlenie/i7-4770-ozu-1600ggts-monitory-75gts-IDljB7u.html#f9f01ff837;promoted
Игровой компьютер,260 000 тг.,https://www.olx.kz/d/obyavlenie/igrovoy-kompyuter-IDlsx1u.html#f9f01ff837
Продам системный блок двух ядерный,30 000 тг.,https://www.olx.kz/d/obyavlenie/prodam-sistemnyy-blok-dvuh-yadernyy-IDlsx1B.html#f9f01ff837
Сетевой адаптер Tenda,2 000 тг.,https://www.olx.kz/d/obyavlenie/setevoy-adapter-tenda-IDl0XCz.html#f9f01ff837
Продам ПК I5 9400F/Asus GTX 1650 super,450 000 тг.,https://www.olx.kz/d/obyavlenie/prodam-pk-i5-9400f-asus-gtx-1650-super-IDkYHSq.html#f9f01ff837
Lg 19' монитор LED,25 000 тг.,https://www.olx.kz/d/obyavlenie/lg-19-monitor-led-IDjgdTP.html#f9f01ff837
Мышь оптическая DIGENT IZZIX-FM1000 (встроеный сканер). Продам,3 500 тг.,https://www.olx.kz/d/obyavlenie/mysh-opticheskaya-digent-izzix-fm1000-vstroenyy-skaner-prodam-IDh9EDb.html#f9f01ff837
AOC 24G2/BK 144Hz,63 000 тг.,https://www.olx.kz/d/obyavlenie/aoc-24g2-bk-144hz-IDlrMKl.html#f9f01ff837;promoted
Продам адаптер от флешки,500 тг.,https://www.olx.kz/d/obyavlenie/prodam-adapter-ot-fleshki-IDkhcYy.html#f9f01ff837
Продам компьютер,200 000 тг.,https://www.olx.kz/d/obyavlenie/prodam-kompyuter-IDlsvXH.html#f9f01ff837
Оперативки маленькие по 1000 тенге длинные по 500 тенге,1 000 тг.,https://www.olx.kz/d/obyavlenie/operativki-malenkie-po-1000-tenge-dlinnye-po-500-tenge-IDlsvXy.html#f9f01ff837
"Модемы TP-LINK WI-FI TD-W8961N в Актобе! в ""Спутнике""! АКЦИЯ!",13 800 тг.,https://www.olx.kz/d/obyavlenie/modemy-tp-link-wi-fi-td-w8961n-v-aktobe-v-sputnike-aktsiya-IDiJQpc.html#f9f01ff837;promoted
"i3 10100,GTX1660ti 6Gb,16gb,SSD M.2 240Gb,550w",455 000 тг.,https://www.olx.kz/d/obyavlenie/i3-10100-gtx1660ti-6gb-16gb-ssd-m-2-240gb-550w-IDlpQ3U.html#f9f01ff837;promoted
4GB GTX1050 Ti GDDR5 DP HDMI DVI Gainward (оптовая цена 110000),121 990 тг.,https://www.olx.kz/d/obyavlenie/4gb-gtx1050-ti-gddr5-dp-hdmi-dvi-gainward-optovaya-tsena-110000-IDln73Q.html#f9f01ff837;promoted
Мощный Intel Core i7 20GB 144 герц SSD Игравой Компьютер Сборка 1050ti,385 000 тг.,https://www.olx.kz/d/obyavlenie/moschnyy-intel-core-i7-20gb-144-gerts-ssd-igravoy-kompyuter-sborka-1050ti-IDjT8pq.html#f9f01ff837;promoted
"i7-4770,ОЗУ 1600Ггц,Мониторы 75Гц",5 000 тг.,https://www.olx.kz/d/obyavlenie/i7-4770-ozu-1600ggts-monitory-75gts-IDljB7u.html#f9f01ff837;promoted
Игровой компьютер,260 000 тг.,https://www.olx.kz/d/obyavlenie/igrovoy-kompyuter-IDlsx1u.html#f9f01ff837
Продам системный блок двух ядерный,30 000 тг.,https://www.olx.kz/d/obyavlenie/prodam-sistemnyy-blok-dvuh-yadernyy-IDlsx1B.html#f9f01ff837
Сетевой адаптер Tenda,2 000 тг.,https://www.olx.kz/d/obyavlenie/setevoy-adapter-tenda-IDl0XCz.html#f9f01ff837
Продам ПК I5 9400F/Asus GTX 1650 super,450 000 тг.,https://www.olx.kz/d/obyavlenie/prodam-pk-i5-9400f-asus-gtx-1650-super-IDkYHSq.html#f9f01ff837
Lg 19' монитор LED,25 000 тг.,https://www.olx.kz/d/obyavlenie/lg-19-monitor-led-IDjgdTP.html#f9f01ff837
